# C4 ResNet1D 8方法对比
# ResNet1D 实验数: 30
# InceptionTime 实验数: 30

## 详细数据（每实验×方法）
arch,pair,seed,method,n_id,n_ood,id_acc,ood_acc,id_deltaECE,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,decay,id_ood_gap,support
inceptiontime,cpsc_ptbxl,44,platt,2057,2120,0.7379679144385026,0.45660377358490567,0.016435785396363384,0.01942386668506399,0.017591488390267765,0.020848264827056092,0.003256776436788327,0.002988081288700605,0.002988081288700605,1
inceptiontime,cpsc_ptbxl,44,isotonic,2057,2120,0.7379679144385026,0.45660377358490567,0.012894789104134798,0.012112562735940524,0.00899666235876557,0.015106405247564141,0.006109742888798571,-0.0007822263681942741,-0.0007822263681942741,1
inceptiontime,cpsc_ptbxl,44,vector,2057,2120,0.7379679144385026,0.45660377358490567,0.015951078959231074,0.01943865216869778,0.017394745177911,0.02105580880535774,0.0036610636274467395,0.003487573209466705,0.003487573209466705,1
inceptiontime,cpsc_ptbxl,44,matrix,2057,2120,0.7379679144385026,0.45660377358490567,0.0055310681023619315,0.009276479999426657,0.005367812881906336,0.013200221187887719,0.007832408305981383,0.003745411897064725,0.003745411897064725,1
inceptiontime,cpsc_ptbxl,44,dirichlet,2057,2120,0.7379679144385026,0.45660377358490567,0.005550608465287793,0.009351461920064807,0.005392500626371893,0.013283501322432225,0.007891000696060331,0.0038008534547770145,0.0038008534547770145,1
inceptiontime,cpsc_ptbxl,44,em_prior,2057,2120,0.7379679144385026,0.45660377358490567,0.0016425653394332024,-0.011698037024533675,-0.019269515685221426,-0.002245213225664098,0.017024302459557328,-0.013340602363966877,-0.013340602363966877,0
inceptiontime,cpsc_ptbxl,44,bbse_prior,2057,2120,0.7379679144385026,0.45660377358490567,-0.004438997373341157,0.000407327947009678,-0.006052749374014549,0.008260518217224044,0.014313267591238594,0.004846325320350835,0.004846325320350835,0
inceptiontime,cpsc_ptbxl,45,ts,2057,2120,0.7355371900826446,0.4033018867924528,0.0052007856886818506,0.019702267504113802,0.019288023006662932,0.020123041514648204,0.0008350185079852718,0.014501481815431951,0.014501481815431951,1
inceptiontime,cpsc_ptbxl,45,platt,2057,2120,0.7355371900826446,0.4033018867924528,0.012794939945358276,0.014364411934131599,0.010308647443543678,0.019195111491524433,0.008886464047980755,0.001569471988773323,0.001569471988773323,1
inceptiontime,cpsc_ptbxl,45,isotonic,2057,2120,0.7355371900826446,0.4033018867924528,0.018602974423162576,0.0030302334374394113,-0.0025763245225889253,0.009522691018850431,0.012099015541439356,-0.015572740985723164,-0.015572740985723164,0
inceptiontime,cpsc_ptbxl,45,vector,2057,2120,0.7355371900826446,0.4033018867924528,0.011359291214023126,0.004816613839066203,-0.00033983372505717673,0.010871678023253208,0.011211511748310385,-0.006542677374956923,-0.006542677374956923,0
inceptiontime,cpsc_ptbxl,45,matrix,2057,2120,0.7355371900826446,0.4033018867924528,0.013449230916610468,0.009491926911940868,0.003456406589674098,0.016826507973073935,0.013370101383399837,-0.0039573040046696,-0.0039573040046696,1
inceptiontime,cpsc_ptbxl,45,dirichlet,2057,2120,0.7355371900826446,0.4033018867924528,0.013466300777412427,0.009385539527778153,0.0032278353814255453,0.016969800024358404,0.013741964642932859,-0.004080761249634274,-0.004080761249634274,1
inceptiontime,cpsc_ptbxl,45,em_prior,2057,2120,0.7355371900826446,0.4033018867924528,-0.022468160219781378,-0.00929631255486002,-0.014612746337217212,-0.0038203942009506654,0.010792352136266547,0.013171847664921358,0.013171847664921358,0
inceptiontime,cpsc_ptbxl,45,bbse_prior,2057,2120,0.7355371900826446,0.4033018867924528,-0.012641379198656499,0.03513295083496179,0.025631590154753598,0.04588993947872534,0.020258349323971744,0.04777433003361829,0.04777433003361829,1
inceptiontime,cpsc_ptbxl,46,ts,2057,2120,0.7146329606222654,0.4910377358490566,0.00017634329544658975,0.0002152978637234293,0.00020364846796215656,0.0002245084098483896,2.085994188623304e-05,3.8954568276839546e-05,3.8954568276839546e-05,1
inceptiontime,cpsc_ptbxl,46,platt,2057,2120,0.7146329606222654,0.4910377358490566,0.0004008289246136172,-0.001901229169014862,-0.005003327547026308,-0.0003536514010167767,0.004649676146009531,-0.002302058093628479,-0.002302058093628479,0
