direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,leads2,leads,0.23365659090726665,0.07005975886269729,0.015315047314370864,-0.17882301141419796,0.05474471154832643,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,leads1,leads,0.5212994439765395,0.27266113125883296,0.05674918898008794,-0.2847619421175185,0.21591194227874502,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,noise24,noise,0.3979987612836508,0.1918402735099664,0.019852016481999524,-0.3150592361359487,0.17198825702796688,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,noise12,noise,0.3769574268153829,0.17686248098142002,0.017249207440899,-0.30510369495273637,0.15961327354052102,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,noise6,noise,0.3349622140617077,0.14438826555074158,0.01166749973579292,-0.2776975546823977,0.13272076581494865,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,noise0,noise,0.31516023920040687,0.13386297245333167,0.009792226719129165,-0.256500565746535,0.12407074573420251,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,noise-6,noise,0.41196139779687563,0.20561111683440722,0.037565276152616914,-0.23765722530363853,0.1680458406817903,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,gain0.5,gain,0.3000832292117421,0.09649096937298139,0.012361924405897711,-0.26614509057288904,0.08412904496708368,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,gain2.0,gain,0.4090742296083477,0.22395351486007287,0.03416481441435935,-0.2723798846626526,0.18978870044571353,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,fs250,downsample,0.2332383471631531,0.10335755748867431,0.02010308580877488,-0.15671479894739399,0.08325447167989944,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,fs125,downsample,0.42783612541179755,0.20913510465702795,0.04865364736978667,-0.22755661580288516,0.16048145728724128,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,leads6,leads,0.3499703788551022,0.1579464036381979,0.01948334445773397,-0.2639601988113026,0.13846305918046392,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,leads3,leads,0.2755101351526869,0.08516024409902917,0.005057591001474616,-0.22905369032481293,0.08010265309755456,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,leads2,leads,0.3590014126821554,0.14221897189848257,0.04029007604375957,-0.17487625878397606,0.10192889585472299,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,leads1,leads,0.6280321783881835,0.423391821999276,0.1372985936373037,-0.2809713893818831,0.28609322836197226,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,noise24,noise,0.3830060792835569,0.17334481475984204,0.019590754320784366,-0.27986551350621003,0.15375406043905768,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,noise12,noise,0.36261627796607687,0.160619001587961,0.01738937704101897,-0.2718930204848067,0.14322962454694202,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,noise6,noise,0.33113296860191266,0.13905987664970954,0.012931471442728744,-0.2569504945572472,0.1261284052069808,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,noise0,noise,0.23979825263854,0.08426980369996317,0.0084764456458733,-0.18510437753987585,0.07579335805408988,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,noise-6,noise,0.3087983299060317,0.14252988347893308,0.026835802427821437,-0.18739667587352654,0.11569408105111165,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,gain0.5,gain,0.30879696602826723,0.10431812883596549,0.007525807420442707,-0.2637159732529196,0.09679232141552278,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,43,gain2.0,gain,0.313609065520596,0.1580279652594026,0.029359051882084614,-0.21558776077663774,0.12866891337731798,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,44,fs250,downsample,0.23112160497826847,0.059212552880133835,0.003146479217211811,-0.18576355003685133,0.056066073662922024,1,computed
