pair,arch,seed,source,target,T_global,fit_status,n_cal,n_id,n_ood,cal_entropy_mean,cal_entropy_std,id_rel_raw,id_rel_global_T,id_delta_rel_global,id_rel_binned_T,id_delta_rel_binned_vs_global,ood_rel_raw,ood_rel_global_T,ood_delta_rel_global,ood_rel_binned_T,ood_delta_rel_binned_vs_global
ALL,SUMMARY,-1,,,2.0181522915251833,"n=62,mean",2025,2172,2172,0.5836009195859908,0.30050611013495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ptbxl_chapman,PAIR_MEAN,-1,,,1.0176374937045949,"n=12,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ptbxl_cpsc,PAIR_MEAN,-1,,,3.122537630442742,"n=10,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chapman_ptbxl,PAIR_MEAN,-1,,,1.0633231916734207,"n=10,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chapman_cpsc,PAIR_MEAN,-1,,,1.3988201180766524,"n=10,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cpsc_ptbxl,PAIR_MEAN,-1,,,2.9701027543618204,"n=10,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cpsc_chapman,PAIR_MEAN,-1,,,2.7365955204559875,"n=10,pair_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALL,mamba_MEAN,-1,,,0.5643467136970306,"n=2,arch_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALL,resnet1d_MEAN,-1,,,2.082897065412887,"n=30,arch_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALL,inceptiontime_MEAN,-1,,,2.0503278894926895,"n=30,arch_mean",0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALL,DIST_STATS,-1,,,0.9859555238799711,"n=62,std",1,1.107688714100596,2.803025871240673,1.5741273899456223,0.5230028440755262,4.439669380509517,0.987972242705394,3.5260353439334673,nan,nan,1.0474883848020438,nan,nan,nan,nan
